id,title,year,doi,n_citation,doc_type,reference_count,references
516,Speak rather baby agency.,1997,https://doi.org/10.1000/723522,412,Journal,19,180;1099;872;878;1785;524
517,Next for home present.,2018,https://doi.org/10.1000/850789,347,Conference,30,1329
518,Son peace production.,2013,https://doi.org/10.1000/881650,235,Conference,15,861
519,Only reveal structure.,1992,https://doi.org/10.1000/328516,380,Journal,17,1919;1385
520,Charge beat person what baby.,1992,https://doi.org/10.1000/227731,116,Journal,49,1381;840;1532;1245;1855;701;1163
521,Deep teacher political old ago.,2007,https://doi.org/10.1000/611689,30,Journal,4,303;1730;934;246;990;492;1889
522,Yourself rise exactly commercial sure movement.,1999,https://doi.org/10.1000/686917,70,Conference,23,1664;969;171;636;168;410;1489;1411
523,Seek well program hour difference.,2015,https://doi.org/10.1000/454985,113,Journal,11,500;935;684;1944
524,Arrive talk experience.,2021,https://doi.org/10.1000/988087,292,Journal,13,1008;1182;1788;188;1340;205;664;96;464
525,Factor by few far.,2020,https://doi.org/10.1000/174798,107,Journal,25,1421;951;1637
526,Peace quality note sell.,1995,https://doi.org/10.1000/382531,133,Conference,15,620;1659;953;1750;159;1834;105;1388;1783;175
527,Choice yard far daughter poor music.,2000,https://doi.org/10.1000/200788,264,Conference,20,787;407;1068;1644;1985;1117;141;168;1641;1516
528,Consider military attorney.,2016,https://doi.org/10.1000/731571,300,Journal,34,426;692;942;1709;1420
529,Compare professional land whom himself.,1997,https://doi.org/10.1000/931921,24,Conference,13,998;855;259;1851;71;253;927;794
530,Far even often somebody pattern born.,2001,https://doi.org/10.1000/408263,450,Conference,7,1484;1294;1483;140;1367;1028;237
531,Travel since bar.,2021,https://doi.org/10.1000/533213,354,Conference,44,1706;635;105;364;1594
532,Prepare this apply level.,2023,https://doi.org/10.1000/606591,444,Journal,46,904;797;1966;1109;249;1275
533,Common apply situation better.,1999,https://doi.org/10.1000/125317,416,Journal,34,159;1753;1948;1202;1067;1096;1847
534,Ever information course draw pattern.,2012,https://doi.org/10.1000/181104,483,Journal,47,573;568;1254;514;415
535,Really television later contain protect.,2019,https://doi.org/10.1000/399000,88,Journal,9,203;394
536,Change summer no help whether.,2015,https://doi.org/10.1000/651401,471,Conference,44,1801;963;274;1602;631;1554;1802;1741;223;1331
537,Scene factor of team.,1993,https://doi.org/10.1000/307963,156,Journal,33,760;1919
538,Conference what media run never.,1991,https://doi.org/10.1000/552621,393,Conference,49,1550;1187;944;1382
539,Amount nation network.,2024,https://doi.org/10.1000/279213,427,Journal,26,1082;1915;516;1786;1856;1700;1829;788;421
540,Admit small under girl.,2022,https://doi.org/10.1000/224797,197,Conference,9,328;635;558;1838;1544
541,Teacher guy year tax go.,2002,https://doi.org/10.1000/486784,151,Conference,16,1555;156;473;967;657
542,Reality far radio claim.,2024,https://doi.org/10.1000/181302,134,Conference,37,1757;1293;181
543,How floor make agent deal.,2005,https://doi.org/10.1000/663384,152,Conference,34,1944;776;617;1190;1297;947;438
544,Series medical action between.,2019,https://doi.org/10.1000/625323,97,Conference,35,901;1475;411;934;282;499;1345
545,East glass born executive production audience.,1990,https://doi.org/10.1000/172011,228,Conference,4,704
546,His concern degree building size off.,2008,https://doi.org/10.1000/827097,455,Journal,39,1977;970;1074;156;132
547,Pattern challenge traditional.,1998,https://doi.org/10.1000/573404,361,Conference,27,1946;906;548;249;1777;1422;356;451;789;1794
548,She second remember.,2021,https://doi.org/10.1000/177492,85,Journal,45,1791;225;86;405;1140;429;1434
549,Allow well down yourself drive beat.,1990,https://doi.org/10.1000/336252,29,Conference,16,875;1737;1353;653;1832
550,Boy these need.,2014,https://doi.org/10.1000/652717,361,Conference,15,142;498;580;1800;1434
551,Recently middle radio that agency.,2013,https://doi.org/10.1000/446984,97,Journal,34,501;105;298;1094;591;145;1563
552,Beautiful people catch question cell difference.,1997,https://doi.org/10.1000/433806,309,Journal,3,216;274
553,Look performance those specific.,2009,https://doi.org/10.1000/400530,282,Journal,1,828;839;624;486;1597;864;767
554,Perform soon visit experience site media.,2008,https://doi.org/10.1000/498569,255,Journal,46,1137;1095
555,Head have long.,2003,https://doi.org/10.1000/705925,276,Journal,29,123;641;1211;810;1532
556,Senior pass assume law.,1993,https://doi.org/10.1000/638306,72,Journal,25,1724;923;335;293;838;825;1879;1090
557,High identify give.,2019,https://doi.org/10.1000/886329,449,Journal,13,114;1263;438;1735;138;1430;1281;612;108;769
558,Support letter agent.,2016,https://doi.org/10.1000/901325,213,Journal,45,1617;743;1870;1544;1805
559,Leg budget south.,1995,https://doi.org/10.1000/240431,288,Conference,12,1323;486
560,Discussion behavior treatment economy and commercial.,1999,https://doi.org/10.1000/513688,428,Conference,25,855;80;1396;1791;53
561,Study matter case.,2009,https://doi.org/10.1000/462402,305,Journal,41,486;455;1493;1093;727;247;1995
562,Father along past teach control floor.,1998,https://doi.org/10.1000/958538,208,Conference,27,777;571
563,Apply improve citizen knowledge girl culture.,1992,https://doi.org/10.1000/826298,294,Conference,9,333
564,Citizen onto make president.,2005,https://doi.org/10.1000/117237,22,Journal,8,1224;1854;449;1832;1203;36;844
565,Out tend article yard evening opportunity.,1990,https://doi.org/10.1000/688431,417,Conference,19,468;410;912;1796;1733;747;931;670;1243;85
566,Argue identify industry alone.,1996,https://doi.org/10.1000/515882,8,Journal,19,869;1805;1920;1179
567,Foreign player culture.,2025,https://doi.org/10.1000/504472,176,Conference,20,205;1710;1831
568,Step must true walk ahead decision.,2000,https://doi.org/10.1000/292576,298,Conference,26,942;1236;952;695;464;922;1945;149
569,Five mind pattern present operation play.,2018,https://doi.org/10.1000/758763,34,Journal,26,712;147;1915;1980;1754;44;255;597;4
570,Care field join specific.,2022,https://doi.org/10.1000/598287,478,Conference,34,697
571,Way ok father.,2023,https://doi.org/10.1000/969482,243,Journal,35,465;313;1140;803;14;1934
572,Tough artist view growth around.,2024,https://doi.org/10.1000/325640,175,Conference,17,443;231;1152;1897;1960;1924
573,Personal run standard pay risk.,2019,https://doi.org/10.1000/403695,205,Conference,24,1662;46;1398;479;275;641;1289;1977
574,Simple include as scene marriage beat.,2007,https://doi.org/10.1000/961708,407,Conference,26,1422
575,Will begin agreement.,1995,https://doi.org/10.1000/707572,223,Conference,19,723
576,Member factor idea process pay laugh.,2022,https://doi.org/10.1000/192726,284,Conference,12,1014;7;1552;124;1778;1282
577,Although song race eye individual.,2019,https://doi.org/10.1000/792472,449,Conference,48,219;1280;119;248;685;336
578,Interest benefit data seek maybe.,1994,https://doi.org/10.1000/968792,123,Conference,20,757
579,Picture arm recently us president world.,2016,https://doi.org/10.1000/996795,71,Journal,6,1588;1340;1032;251;445;1685;1365;23;383
580,Within son local today.,2011,https://doi.org/10.1000/508935,367,Journal,12,873;832;487;777;1725;791;407;683;877;830
581,To usually present.,2006,https://doi.org/10.1000/975876,282,Conference,47,823;1346;1105;684;1288;1244;1394;1768
582,Listen step base.,1991,https://doi.org/10.1000/603248,214,Journal,22,1702;1010;1048;1264;1000;973;293;528;1874
583,Policy board boy hold.,2011,https://doi.org/10.1000/856400,409,Journal,38,1672;1309;1062;874;125;150;1186;1751
584,Attack class eat popular page.,2003,https://doi.org/10.1000/168744,443,Conference,23,196;1142;1578;1620;1618
585,Score increase remember also sport.,2019,https://doi.org/10.1000/379714,106,Journal,1,1325
586,Difference everyone war several.,2024,https://doi.org/10.1000/871319,395,Journal,38,534;706;137;1893;1556;511;1953;1208;597
587,Glass force later million.,1994,https://doi.org/10.1000/255411,65,Conference,47,1983;538;1993;34
588,Radio treatment lose drop.,2001,https://doi.org/10.1000/271873,486,Conference,44,118;639;356;52;17;207
589,Care half story father culture.,1991,https://doi.org/10.1000/347304,211,Journal,42,657;16;1207;871;1289;1071;1981;1642;1379
590,Billion represent city writer forward none.,2018,https://doi.org/10.1000/881135,155,Conference,6,870;894
591,Personal still teacher lead later blue.,1992,https://doi.org/10.1000/480027,478,Conference,15,944;77;993;668;1430;854
592,Its factor present drop long.,2001,https://doi.org/10.1000/732008,221,Conference,49,1910;1802;1842;1535;213;358;502;1902;304
593,Could boy interest couple cell.,1993,https://doi.org/10.1000/793917,435,Journal,30,1736;1467;1278;1697;547;811
594,True later food.,1990,https://doi.org/10.1000/540506,22,Conference,6,713;1625;361;146;680;1432
595,Herself fast there son because business.,1995,https://doi.org/10.1000/293006,34,Journal,47,1748;1677;1214;1324;1771
596,Knowledge owner true.,2018,https://doi.org/10.1000/351744,63,Conference,10,500;1381;1531;75;1536;1431;1749;548;652;1712
597,Interest still positive voice.,2024,https://doi.org/10.1000/355274,53,Journal,1,979;1646
598,Cause college nearly generation.,2022,https://doi.org/10.1000/611978,259,Journal,36,1090;432;562;470;689;957
599,Present social condition writer.,1994,https://doi.org/10.1000/624703,158,Conference,34,805;436;36;1913;1761;273;920;954;827
600,Simple agree newspaper space word.,2001,https://doi.org/10.1000/554411,165,Conference,14,1274;52
601,True scientist let admit yourself.,2021,https://doi.org/10.1000/668131,88,Journal,2,1094
602,Democratic level nor check gas take.,2007,https://doi.org/10.1000/214207,414,Journal,2,1265;569;391
603,She traditional cold without side goal.,1998,https://doi.org/10.1000/789879,388,Conference,35,1728
604,But herself today.,2006,https://doi.org/10.1000/654835,167,Conference,15,586;1009
605,Democratic learn service capital.,2018,https://doi.org/10.1000/745237,173,Conference,16,1285;487;269;527;506;495;1831
606,Song TV knowledge he your.,2018,https://doi.org/10.1000/812101,291,Conference,38,966;1766;1908;131;1076;1466;183
607,Know serious deep.,2015,https://doi.org/10.1000/466439,373,Conference,12,1175;1110;1178;1494
608,Help your heart.,1999,https://doi.org/10.1000/839848,476,Journal,17,656;1072;1660;1307
609,Teach painting data.,2002,https://doi.org/10.1000/652246,261,Conference,1,1250;431;375
610,Approach themselves talk simply chair.,1990,https://doi.org/10.1000/526002,439,Journal,30,342;1354;448;1376
611,True third kitchen recognize doctor else.,1998,https://doi.org/10.1000/403987,230,Conference,46,1570;821
612,Method claim similar away night travel.,2014,https://doi.org/10.1000/349974,199,Conference,23,873;1498;437;1443;1003;852;1369
613,Mr address lose individual.,2019,https://doi.org/10.1000/842662,205,Journal,3,1784;833;486;1189;496;616;1528;959;457
614,Food usually bag book think.,2020,https://doi.org/10.1000/164850,380,Conference,45,1347;1844;1222;1951;898;1424;1755;151
615,They approach task police.,2020,https://doi.org/10.1000/979655,60,Conference,31,702;1821;1036;770
616,Market south left garden strategy investment.,2003,https://doi.org/10.1000/926468,43,Journal,47,832;723
617,Send serious gun side treat international.,2009,https://doi.org/10.1000/839272,166,Journal,30,90;1906;307;1916
618,Story cell order.,2017,https://doi.org/10.1000/555674,161,Conference,31,101;490
619,Guy on he your.,2007,https://doi.org/10.1000/615737,473,Journal,48,1075;1425;39;1530
620,Another which her truth.,2022,https://doi.org/10.1000/449228,455,Conference,25,809;582;13;242;1616;1662
621,Myself seek reason save push including.,2009,https://doi.org/10.1000/359350,156,Conference,26,1872;632;1915;1268;679;1242;1772;212;1454
622,Herself land almost let operation.,2016,https://doi.org/10.1000/109600,44,Conference,9,926;1030;1214;177;1929;1367;1707
623,Race decide deep receive.,1997,https://doi.org/10.1000/767010,192,Journal,9,1278;311;1449;1655;1819;589
624,Visit perhaps outside pass.,1992,https://doi.org/10.1000/347977,363,Journal,9,1904;359;1839;1777;1223;192
625,Paper cost message science change store.,2023,https://doi.org/10.1000/352275,22,Journal,5,113;253;1380;1136;701;1711;882;932
626,Arrive almost site.,2008,https://doi.org/10.1000/545924,336,Journal,23,424;1646
627,Deal many hotel.,1993,https://doi.org/10.1000/590924,284,Journal,13,1552;1800;1775;450
628,Recognize so protect well girl positive.,2023,https://doi.org/10.1000/238088,452,Journal,16,1503;1422;1180;662;389
629,Study decide effort such.,2010,https://doi.org/10.1000/833674,71,Journal,9,1906;683;112
630,Career artist alone any.,2017,https://doi.org/10.1000/634081,61,Journal,44,1012;1018;663;338;1309;175;180;1078;1794
631,Wish pressure suggest my star.,1994,https://doi.org/10.1000/870036,113,Journal,40,1632;1869;1671;971;585;1043
632,Environment final stop lot.,1994,https://doi.org/10.1000/171236,207,Journal,17,601;1525
633,Nothing late growth whom herself.,2003,https://doi.org/10.1000/757970,387,Journal,2,1581;1524
634,Treatment seat capital.,2024,https://doi.org/10.1000/351644,130,Conference,5,1202
635,Chance act executive.,2020,https://doi.org/10.1000/683077,435,Journal,11,371
636,Letter voice gun name statement factor.,1992,https://doi.org/10.1000/149348,100,Conference,42,899;1877;1313;1999;224;1052;989;1670;988
637,Whole military out call.,1997,https://doi.org/10.1000/805366,172,Conference,15,612
638,Medical garden will.,1995,https://doi.org/10.1000/373617,256,Conference,34,1914;767;1801
639,Bed quickly clear.,2004,https://doi.org/10.1000/208311,294,Conference,11,595;1112;1907;1829;160;393;875
640,Fear old ground act.,1991,https://doi.org/10.1000/594408,204,Journal,31,1335;83
641,Least partner woman because building hot allow.,1990,https://doi.org/10.1000/579999,263,Journal,21,1045;679
642,Side himself if teacher opportunity there.,2021,https://doi.org/10.1000/851341,365,Conference,13,1660;71
643,Clear everyone especially painting.,2025,https://doi.org/10.1000/105596,425,Conference,18,1069;1584;51;1308;22;1866
644,Remain there report.,1999,https://doi.org/10.1000/412830,57,Conference,20,1322;571;826;1796;513;273;367;948
645,Mention short star pretty.,2011,https://doi.org/10.1000/189097,218,Conference,20,89;773;832;625;640;1705;1925;1644;48;1987
646,Area rather city tax president.,2022,https://doi.org/10.1000/116377,187,Journal,18,23;1065
647,Agreement power my.,2003,https://doi.org/10.1000/484920,309,Journal,23,1388;1507;1999;1196
648,Sing reason four.,2004,https://doi.org/10.1000/368383,24,Journal,26,1442;109
649,Paper front stock design.,2003,https://doi.org/10.1000/245497,181,Conference,40,1696;1102;114;913;1842;425
650,Recently order answer trip tonight.,1995,https://doi.org/10.1000/526710,65,Journal,21,1024
651,Focus time remain whose six floor.,2014,https://doi.org/10.1000/997017,354,Conference,1,931;685;654;1290
652,Many trial occur beat.,2010,https://doi.org/10.1000/748017,429,Conference,46,1154;1689;1903;1508;1967
653,Study soon should data.,1992,https://doi.org/10.1000/932911,346,Journal,48,1794
654,Listen table do.,2021,https://doi.org/10.1000/130551,140,Journal,7,1689;603;1397;531;1011;509
655,Tell their born.,2014,https://doi.org/10.1000/709850,458,Journal,37,524;1164;923;1714;208;1073;1844;1010;172
656,Popular reflect lose.,2013,https://doi.org/10.1000/187933,189,Conference,30,1434;446;1717;1618;458
657,Yeah seat fish deep ball lawyer.,2025,https://doi.org/10.1000/289331,216,Journal,15,1109;89;1965;1174
658,Inside former race magazine minute product.,2020,https://doi.org/10.1000/881211,492,Journal,25,1900;1962;1336;1151
659,War picture skill include.,2009,https://doi.org/10.1000/491891,139,Journal,20,445;1599;98;1270;1171;616;830;1899;168
660,Best fund walk sit decade.,2021,https://doi.org/10.1000/714202,358,Conference,7,1206;1545;242;933;384
661,Exactly term team drop foot.,2012,https://doi.org/10.1000/991914,438,Journal,31,1600;1156;837;569;93;1916;1050;864;737;1898
662,Character social story.,2017,https://doi.org/10.1000/564683,324,Journal,28,103;1089;1844;215;1913
663,Much appear serve campaign today heart.,2017,https://doi.org/10.1000/483696,481,Journal,1,1973;677;1437;735;1749;898;1924;520
664,Simple prepare shoulder into.,2019,https://doi.org/10.1000/680929,386,Conference,37,60;1751;1308;126;1571;898;11
665,Cup a well security her.,1991,https://doi.org/10.1000/178790,450,Journal,39,526
666,Need ask certain.,2013,https://doi.org/10.1000/175560,132,Journal,8,1762;430;1102;6;90;45;346;182;270
667,Turn run article only significant weight.,2017,https://doi.org/10.1000/564542,196,Conference,14,1402;1887;1942;914;829;1359;1633;1336;242;432
668,Fight pass more money street.,2013,https://doi.org/10.1000/987996,236,Conference,50,1492;584;238;353;293;539;1750;968;1529;1270
669,Either half move onto.,2013,https://doi.org/10.1000/899178,364,Journal,37,793;345;1501;791;1453;982;871
670,Kid western hand face difficult capital.,2021,https://doi.org/10.1000/421565,315,Conference,24,187;278;1718;1901;855;1995;23;949
671,Whole finish central situation trade forward instead.,2000,https://doi.org/10.1000/234357,486,Journal,41,1071;958;212;1037;1877
672,Fish light help area region magazine.,2000,https://doi.org/10.1000/805403,113,Journal,38,229;312;934;1403;758;47;466
673,Which spend traditional question buy.,2019,https://doi.org/10.1000/138101,1,Conference,46,1622;345;1398;728;1520
674,Well let network business.,2007,https://doi.org/10.1000/995332,31,Journal,15,883;709;1505;92;1357
675,Paper several both ground.,2004,https://doi.org/10.1000/943687,159,Conference,36,1510;1315;113;1476;878
676,Local morning policy happen until.,1991,https://doi.org/10.1000/990437,93,Journal,42,1593;1839;1858;646;1404;1882;1244;1597;20
677,Successful statement unit.,2022,https://doi.org/10.1000/996341,302,Journal,27,27;396;605;528;1102;1338
678,Partner shoulder able hope chance beat.,2017,https://doi.org/10.1000/936052,208,Conference,42,215
679,Up sea protect hot.,2006,https://doi.org/10.1000/500395,69,Journal,41,1805;1542;981;1971;873;1965;977;875
680,Area short require particular nation candidate.,2002,https://doi.org/10.1000/835814,448,Journal,35,1973;337;1694;199;484
681,She general notice real sense.,2008,https://doi.org/10.1000/128309,224,Conference,48,1757;268;1995;1304;60;1152;1532;978;1473;1581
682,Hit fly he.,1993,https://doi.org/10.1000/688975,58,Journal,10,273;1366;492
683,Others let mention.,2004,https://doi.org/10.1000/541817,365,Journal,26,432;883;1528;378;1741;1507;1962;1661;150
684,Make send town but.,2025,https://doi.org/10.1000/425540,25,Conference,5,1020
685,Sound audience remain.,2019,https://doi.org/10.1000/442362,474,Journal,16,420;274
686,Happy food way often important.,2013,https://doi.org/10.1000/242598,287,Conference,8,1431;1346;1172;7;1403;1158;474
687,Rather sort everyone table.,2003,https://doi.org/10.1000/431786,278,Journal,1,62;144;413
688,Five make answer.,2022,https://doi.org/10.1000/173879,12,Conference,9,1141;1942;983;645;1739;1735;1764;88;158;767
689,Sometimes rule laugh position.,1991,https://doi.org/10.1000/425447,324,Conference,19,1884;167;1029;586;1864;831;883
690,Alone like to.,2007,https://doi.org/10.1000/187147,44,Conference,34,1815;1194;304;1206;515;1391;1450;1447;1752
691,Source red watch tax really.,2018,https://doi.org/10.1000/750019,70,Conference,48,1435;1727;1060;218;1012;913;374;198;595
692,Art resource answer.,1995,https://doi.org/10.1000/435642,440,Conference,17,219;80;361
693,Adult rich leave include.,2010,https://doi.org/10.1000/267364,480,Journal,47,625;1767;685;1381;866;1034;1297;794
694,Case total site point.,1999,https://doi.org/10.1000/941697,277,Journal,12,1801;1996;647;1256;1684;453
695,Particularly bed teacher.,2001,https://doi.org/10.1000/179587,286,Conference,25,1379;1968;802;245;1792;198;1003;1661
696,Site walk listen raise page economy.,2025,https://doi.org/10.1000/752836,31,Conference,13,482;23;1387;1667;1566;1341;619
697,White low much Mrs kitchen point.,2024,https://doi.org/10.1000/427542,53,Conference,21,1576;712;1159;1292;1596;307;737;723
698,Sign figure serious.,1997,https://doi.org/10.1000/344195,139,Conference,30,1016;1871;9;390;440;1722
699,Compare them paper.,2019,https://doi.org/10.1000/120280,404,Conference,14,332;1690;633;1930;503;216;1070;73;831
700,Always capital more.,2022,https://doi.org/10.1000/137955,209,Conference,26,1261;579;734;474;384;1167;124;666;1731
701,Reflect test parent.,2007,https://doi.org/10.1000/691352,326,Journal,26,746;1178;773
702,Boy stop record although threat type.,2002,https://doi.org/10.1000/981816,398,Journal,47,736;1931;1310;1929;306
703,Say there cultural word.,2001,https://doi.org/10.1000/330784,491,Conference,33,1666
704,Smile myself energy make they.,2006,https://doi.org/10.1000/954934,88,Journal,26,1676;795;1133;1830;1986;717;973;1174;1806;1889
705,Speech rule college agreement.,2021,https://doi.org/10.1000/353464,347,Conference,26,1699;594;1158;464;683;1948;602;75;1925;1387
706,Difference sell support.,2023,https://doi.org/10.1000/682035,156,Journal,26,1;272;835;31;1057;805;1224
707,Turn foreign question better.,2004,https://doi.org/10.1000/196805,283,Conference,7,150;377;1084;908;1015;872;775;1017;174;1382
708,Little grow structure force cold.,2009,https://doi.org/10.1000/506767,107,Conference,12,1836;1472;346;524;1336;1074;916;1191;176;1634
709,Follow ask fast science information.,2014,https://doi.org/10.1000/530047,360,Journal,12,408;2;1419;336
710,Surface pattern us.,2014,https://doi.org/10.1000/614431,217,Journal,17,1057;1980;878
711,Federal evidence special economic once claim.,1991,https://doi.org/10.1000/523069,286,Journal,43,1243;1916;610;505;1745;1981;224;788;1003;488
712,Away too goal.,2000,https://doi.org/10.1000/265665,478,Journal,23,1134;1490
713,Push skill heart source take.,2001,https://doi.org/10.1000/526924,219,Journal,50,1260;806
714,Determine mission store she.,2007,https://doi.org/10.1000/643117,361,Journal,28,991;1918
715,Ago economic story side.,2001,https://doi.org/10.1000/187977,128,Conference,5,823;1618;140;423;1619;353;768;450
716,Believe usually there.,2020,https://doi.org/10.1000/823065,69,Conference,47,90;92;1713;1827;469;693;1963;1254
717,Time history later others table different.,2020,https://doi.org/10.1000/946274,286,Journal,47,878
718,Receive attorney outside.,1991,https://doi.org/10.1000/562055,434,Conference,20,1043;1684;807;99;7;388;997;1407;722
719,Claim might figure.,2019,https://doi.org/10.1000/319595,230,Journal,30,1032;1010;896;1064;1535;1268;582;884
720,Word despite important approach sit.,2005,https://doi.org/10.1000/526128,315,Conference,13,1730;1421;398;831;619
721,News himself environment budget message peace.,2024,https://doi.org/10.1000/336909,259,Conference,47,170;1273;1987
722,Fish law list impact.,1993,https://doi.org/10.1000/651316,123,Conference,28,1432
723,War evidence activity black country live.,1994,https://doi.org/10.1000/466833,44,Conference,11,1619;1182;476;1246;1183
724,Expert and might character sister how.,1998,https://doi.org/10.1000/868780,378,Conference,47,443;1809
725,Perform if run against.,1997,https://doi.org/10.1000/243618,72,Conference,42,487;523;1670;114;572;566;1759;601;339
726,Analysis rich cut.,1996,https://doi.org/10.1000/223823,163,Journal,1,943;595;1699;282;1734;367;156;735;1607;1627
727,First cut eight them structure.,2001,https://doi.org/10.1000/733283,107,Conference,31,150;583;1318
728,Whose officer food type church.,2008,https://doi.org/10.1000/630764,314,Journal,4,1528;288;79;1241;1743;1647;474;1712
729,Not fall four both.,1993,https://doi.org/10.1000/863249,487,Conference,13,1021;1403;1311;1652;1832;1962;1860;1646;1222
730,Win skill smile.,2004,https://doi.org/10.1000/121270,33,Journal,20,1671;1499;179;355;422;1149;1302;139;527;1945
731,Then clear accept name Mrs.,1991,https://doi.org/10.1000/899575,263,Conference,1,1412;1361;1854;1246;1385;159;653;1226;409
732,Long structure consider in.,2016,https://doi.org/10.1000/701149,104,Conference,3,1015;1752
733,Ago so college more lose hold.,2005,https://doi.org/10.1000/276190,484,Conference,10,209;275;375;1908
734,With success kind you body outside.,1992,https://doi.org/10.1000/540932,170,Conference,19,309;1666;1062
735,Enter such leave.,2015,https://doi.org/10.1000/758982,238,Journal,16,1042;32;309;744;1662;1840
736,Center finally chance.,2017,https://doi.org/10.1000/533608,332,Journal,24,590;559;1074;1547;1562;146;1431;1196;8;1512
737,Effect billion finally either against we.,2018,https://doi.org/10.1000/370723,100,Journal,6,158
738,Describe benefit hundred.,2023,https://doi.org/10.1000/594625,322,Journal,38,124;875;1402;262
739,Which on nor poor role.,2015,https://doi.org/10.1000/196804,484,Journal,8,712;702;286
740,Growth tell at add fine.,2011,https://doi.org/10.1000/606584,403,Conference,32,368;1925;1532;1736;1427;642
741,Matter cup population discussion.,2024,https://doi.org/10.1000/133788,314,Conference,45,1754;653;562;1244;991;1259
742,Note town hope campaign beyond expert.,1999,https://doi.org/10.1000/801840,383,Journal,28,1632;1542;1284;1181;1230;1132;1233
743,Pressure money unit.,2018,https://doi.org/10.1000/231227,17,Journal,46,1384;58;68;1789;766;1484;894;1877;1450
744,Upon night lead.,2003,https://doi.org/10.1000/434592,366,Conference,16,312;1645;1903;1499
745,Involve identify who us.,2018,https://doi.org/10.1000/959843,100,Journal,41,1463;223;1121;222;471;977;61;1873;584
746,Up every exist man.,2000,https://doi.org/10.1000/880437,317,Journal,39,399
747,Court people later.,2008,https://doi.org/10.1000/504472,313,Conference,40,421;982;114
748,Authority skill final after it pass.,2010,https://doi.org/10.1000/512311,76,Journal,39,1375;1094;1316;855;139;58;559;1839;1232;1766
749,Can attack customer.,2008,https://doi.org/10.1000/134625,406,Conference,46,1377;1247;601
750,Long start of.,2015,https://doi.org/10.1000/301855,315,Conference,19,1306;689;1766;1463;280;399;1350;844;620
751,Anything throw guy us.,1990,https://doi.org/10.1000/491283,180,Conference,35,156;476;1694;567;112;1975
752,Community million baby opportunity water.,2025,https://doi.org/10.1000/424051,484,Journal,23,1732
753,Democratic you product record accept college.,2023,https://doi.org/10.1000/991763,84,Conference,43,1276;703;1936;1214;690;1895;945;361
754,Look back for various song upon.,2018,https://doi.org/10.1000/998539,313,Journal,49,782;1151;847;966;1174;375;473;1599;1491
755,Offer item other ready far middle.,1995,https://doi.org/10.1000/284358,237,Conference,9,1567;1385
756,Live tend source health.,2017,https://doi.org/10.1000/622191,487,Journal,47,541;1499;628;1384
757,Recently born entire Republican no entire.,2008,https://doi.org/10.1000/798845,84,Conference,35,1443;1126;1739;1282;556;226;221
758,Carry avoid building process dream when.,1995,https://doi.org/10.1000/217626,480,Journal,24,626;611;1117;339;1421;203;1410;1184;1063
759,Fast culture ready Democrat idea Congress.,2021,https://doi.org/10.1000/836632,305,Journal,25,440;172;1970;1107;158
760,The candidate treatment professor military.,1998,https://doi.org/10.1000/843152,435,Conference,31,1523;820;75;1758;192;1464;1520
761,Company especially onto level enough figure.,1995,https://doi.org/10.1000/117371,250,Conference,10,1182;140;1731;1315
762,Article world our daughter.,2021,https://doi.org/10.1000/714780,416,Conference,28,1234;894
763,Discuss wear investment.,2020,https://doi.org/10.1000/370361,65,Conference,6,1925;943;1400;1068
764,Kitchen none rich single century its.,1990,https://doi.org/10.1000/395655,126,Journal,12,447;122;516;815;700;1545;1311;841;1028;1144
765,Why nation challenge record suffer.,2022,https://doi.org/10.1000/230679,326,Conference,44,1433;641;1996;1594;803;1944;726
766,Skill good already.,2012,https://doi.org/10.1000/848068,186,Journal,15,1715;282;1081;117;1482;151
767,Grow student mother manage article run.,2008,https://doi.org/10.1000/186963,366,Conference,36,1765;382
768,Several animal control lose commercial when.,2015,https://doi.org/10.1000/880068,208,Journal,9,919;183;1796
769,Energy collection lose.,2015,https://doi.org/10.1000/247381,274,Conference,13,1428;767;1839;1004
770,Create player product plan wife.,2005,https://doi.org/10.1000/443215,257,Conference,47,1890;1572;1591
771,Series edge majority relate son sing.,2020,https://doi.org/10.1000/181777,147,Conference,33,6;1339
772,Bill man child or.,1990,https://doi.org/10.1000/989144,357,Conference,22,713;564;562;546;827;273;938;811;198;1627
773,Particular professional explain.,2022,https://doi.org/10.1000/883075,145,Journal,1,411;1728;744;25;266;1502;1984;655
774,Style mother clearly first ready.,2000,https://doi.org/10.1000/430133,143,Journal,24,516;724;1506;957;8;53;1041;1662;91;489
775,Now party actually happy ball think.,1991,https://doi.org/10.1000/998407,454,Conference,40,679;1683;1328;628;114;869;313;1292;760;1462
776,Rule check join particularly.,1992,https://doi.org/10.1000/326345,382,Journal,10,1928;211;1198;981;410;1911;22
777,Congress work kid.,1994,https://doi.org/10.1000/205718,452,Journal,47,403;1930;895;180;1478;906;49;1851
778,Perform inside series stage.,1997,https://doi.org/10.1000/763955,122,Journal,11,778;675;1634;1782;787
779,Remain east owner.,2023,https://doi.org/10.1000/657396,293,Conference,25,1112;823;776;1522;1785
780,Receive project senior.,2000,https://doi.org/10.1000/129107,397,Journal,19,1015
781,Student ten investment.,1996,https://doi.org/10.1000/746737,254,Journal,34,594;768;1102;331;242;764;137;1306;558;1453
782,Catch music fine data agree.,2021,https://doi.org/10.1000/786879,404,Conference,35,520;32;939;1734
